judul,penulis,kategori,tahun_terbit,total_peminjam
Auditing dan Jasa Assurance: Pendekatan Terintegrasi Edisi 15 Jilid 1," Alvin A. Arens, Mark S. Beasley, Randal J. Elder,Alvin A. Arens",Audit Keuangan,2015,99
"Auditing dan Jasa Assurance Ed 12, Jilid 2"," Alvin A. Arens, Mark S. Beasley, Randal J. Elder,Alvin A. Arens",Audit Keuangan,2008,36
Audit Internal Sawyer Edisi 5 Buku 3," DITTENHOFER, SAWYER,Lawrence B.,Mortimer A.,SAWYER",Audit Keuangan,2006,26
Audit Internal Sawyer Edisi 5 Buku 2," DITTENHOFER, SAWYER,Lawrence B.,Mortimer A.,SAWYER",Audit Keuangan,2006,20
Auditing Buku 1 Edisi 4," AGOES,AGOES,Prof.Dr.Sukrisno",Audit Keuangan,2012,19
Auditing & Jasa Assurance Jilid 1 Ed.12," ARENS, Alvin A., ELDER, Randal J.,ARENS",Audit Keuangan,2008,18
Auditing Buku 1," ARENS, Alvin A., James K., Loebbecke,ARENS",Audit Keuangan,1996,16
Auditing: Petunjuk Praktis Pemeriksaan Akuntan oleh Akuntan Publik Edisi 5 Buku 1," AGOES,AGOES,Sukrisno",Audit Keuangan,2017,16
Auditing & Jasa Assurance Jilid 2 Ed.15," ARENS, Alvin A., ELDER, Randal J.,ARENS",Audit Keuangan,2014,14
Internal Audit," Valery G. Kumaat,Valery G. Kumaat",Audit Keuangan,2011,13
