judul,penulis,kategori,tahun_terbit,total_peminjam
Bank dan Lembaga Keuangan Lainnya Edisi Revisi 2014," Kasmir,Kasmir",Ekonomi Keuangan,2015,21
Bank dan Lembaga Keuangan Lain Edisi 3," BUDISANTOSO, Nuritomo,A.Totok,Nuritomo",Ekonomi Keuangan,2017,18
Pasar Modal dan Manajemen Portofolio Edisi 2," Mohamad Samsul,Mohamad Samsul",Ekonomi Keuangan,2015,14
Manajemen Perkreditan," Irham Fahmi,Irham Fahmi",Ekonomi Keuangan,2014,12
Manajemen Portofolio dan Investasi Edisi 9 Buku 1," Bodie, Kane, Marcus,Bodie",Ekonomi Keuangan,2014,12
Pengantar Pasar Modal: Di Desain Untuk Mempelajari Pasar Modal Dengan Mudah Dan Praktis," Martalena, Maya Malinda,Martalena",Ekonomi Keuangan,2019,12
Bank dan Lembaga Keuangan," Francis Tantri, Thamrin Abdullah,Thamrin Abdullah",Ekonomi Keuangan,2013,10
Manajemen Perbankan," Kasmir,Kasmir",Ekonomi Keuangan,2017,10
Dasar-Dasar Perbankan Edisi Revisi 2014," Kasmir,Kasmir",Ekonomi Keuangan,2016,9
Manajemen Perbankan : Dari Teori Menuju Aplikasi," Ismail,Ismail",Ekonomi Keuangan,2018,9
