judul,penulis,kategori,tahun_terbit,total_peminjam
Analisis Laporan Keuangan Edisi 5," Abdul Halim, Mamduh M. Hanafi,Abdul Halim",Laporan Keuangan,2016,28
Analisis Laporan Keuangan," Kasmir,Kasmir",Laporan Keuangan,2016,22
Analisis Laporan Keuangan," Irham Fahmi,Irham Fahmi",Laporan Keuangan,2014,13
Analisis Laporan Keuangan Proyeksi dan Valuasi Saham," Werner R. Murhadi,Werner R. Murhadi",Laporan Keuangan,2015,13
Analisis Laporan Keuangan: Financial Statement Analysis Edisi 10 Buku 1," John J. Wild, K. R. Subramanyam,K. R. Subramanyam",Laporan Keuangan,2014,10
Analisis Kinerja Keuangan," Irham Fahmi,Irham Fahmi",Laporan Keuangan,2014,7
Analisis Laporan Keuangan," Akt., Dr. Mamduh M. Hanafi, M.B.A, Prof. Dr. Abdul Halim,Dr. Mamduh M. Hanafi",Laporan Keuangan,1995,6
Analisis Laporan Keuangan Edisi 8 Buku 2," SUBRAMANYAM, WILD,John,K.R.,WILD",Laporan Keuangan,2009,6
Analisis Laporan Keuangan Buku 2 Edisi 11," K.R., Subramanyam,Subramanyam",Laporan Keuangan,2017,5
Analisis Laporan Keuangan Buku 1 Edisi 11," K.R., Subramanyam,Subramanyam",Laporan Keuangan,2017,4
