judul,penulis,kategori,tahun_terbit,total_peminjam
Pengantar Keuangan Perusahaan Buku 1 (Edisi Global Asia)," Bradford D. Jordan, Randolph W. Westerfield, Stephen A. Ross,Stephen A. Ross",Manajemen Keuangan,2015,18
Pengantar Manajemen Ed. Revisi," FAUZI, Rita Irviani,FAUZI",Manajemen Keuangan,2018,16
Dasar-Dasar Manajemen Keuangan Buku 1 Ed.11," BRIGHAM, HOUSTON,BRIGHAM,Eugene F.,Joel F.",Manajemen Keuangan,2013,16
Pengantar Keuangan Perusahaan Buku 2 (Edisi Global Asia)," Bradford D. Jordan, Randolph W. Westerfield, Stephen A. Ross,Stephen A. Ross",Manajemen Keuangan,2016,12
Manajemen Keuangan:  Prinsip dan Penerapan Edisi 10 Jilid 1," Arthur J. Keown, J. William Petty, John D. Martin,Arthur J. Keown",Manajemen Keuangan,2011,9
Manajemen Keuangan: Prinsip dan Penerapan Edisi 10 Jilid 2," Arthur J. Keown, J. William Petty, John D. Martin,Arthur J. Keown",Manajemen Keuangan,2010,9
Manajemen Keuangan," Mushafa,Mushafa",Manajemen Keuangan,2017,8
Teori & Praktik Manajemen Keuangan," Lukas Setia Atmaja,Lukas Setia Atmaja",Manajemen Keuangan,2008,7
Manajemen Keuangan Edisi Revisi: Kajian Praktik dan Teori dalam Mengelola Keuangan Organisasi Perusahaan," Ari Purwanti, Darsono Prawironegoro, Dewi Utari,Ari Purwanti",Manajemen Keuangan,2014,6
Prinsip-Prinsip Manajemen Keuangan = Fundamentals of Financial Management Edisi 12 Buku 1," HORNE, WACHOWICZ Jr.,HORNE,James C.Van,John M.",Manajemen Keuangan,2009,4
