judul,penulis,kategori,tahun_terbit,total_peminjam
Manajemen Pemasaran Edisi 13 Jilid 1," Kevin Lane Keller, Philip Kotler,Philip Kotler",Manajemen Pemasaran,2009,154
Manajemen Pemasaran Edisi 13 Jilid 2," Kevin Lane Keller, Philip Kotler,Philip Kotler",Manajemen Pemasaran,2009,90
Manajemen Pemasaran Edisi 13 Jilid 2," KELLER, KOTLER, Kevin Lane,KOTLER,Philip",Manajemen Pemasaran,2009,42
Manajemen Pemasaran Edisi 13 Jilid 1," KELLER, KOTLER, Kevin Lane,KOTLER,Philip",Manajemen Pemasaran,2009,16
Komunikasi Pemasaran," Agus Hermawan,Agus Hermawan",Manajemen Pemasaran,2012,8
Prinsip-Prinsip Pemasaran Jilid 2," AMSTRONG, KOTLER,Gary,KOTLER,Philip",Manajemen Pemasaran,2008,6
Prinsip-Prinsip Pemasaran: Plus Tren terkini," Ari Setiyaningrum, Efendi, Jusuf Udaya,Ari Setiyaningrum",Manajemen Pemasaran,2015,6
Prinsip-Prinsip Pemasaran Jilid 1 Ed.12," AMSTRONG, KOTLER,Gary,KOTLER,Philip",Manajemen Pemasaran,2008,4
Manajemen Pemasaran," Francis Tantri, Thamrin Abdullah,Thamrin Abdullah",Manajemen Pemasaran,2015,4
Manajemen Pemasaran Bank," Sentot Imam Wahjono,Sentot Imam Wahjono",Manajemen Pemasaran,2013,3
