judul,penulis,kategori,tahun_terbit,total_peminjam
Manajemen Edisi 10 Jilid 1," COULTER, ROBBINS,ALFANSI,Lizar,Mary,Stephen P.",Manajemen,2010,13
Manajemen Biaya Edisi 5 Buku 1," David E. Stout, Edward J. Blocher, Gary Cokins,Edward J. Blocher",Manajemen,2011,9
Pengantar Manajemen Edisi Revisi," Ernie  Tisnawatie Sule, Kurniawan Saefullah,Ernie  Tisnawatie Sule",Manajemen,2019,8
Structural Equation Modeling Untuk Penelitian Manajemen Menggunakan AMOS 18.00," Parwoto Wardoyo, Siswoyo Haryono,Siswoyo Haryono",Manajemen,2013,8
Manajemen Jilid 1 Edisi 13," Mary Coulter, ROBBINS,ROBBINS,Stephen P.",Manajemen,2016,6
The Power of Good Corporate Governance," Muh. Arief Effendi,Muh. Arief Effendi",Manajemen,2009,5
Manajemen Perubahan (Management of Change)," J. Winardi,J. Winardi",Manajemen,2015,4
"Manajemen : Teori, Kasus, dan Solusi"," Irham Fahmi,Irham Fahmi",Manajemen,2014,4
Introduction to Management Accounting Edisi 16 (Global Edition)," David Burgstahler, Gary L. Sundem, Jeff Schatzberg,Charles T. Horngren",Manajemen,2014,4
Generasi Z," David Stillman, Jonah Stillman,David Stillman",Manajemen,2019,4
