judul,penulis,kategori,tahun_terbit,total_peminjam
Komunikasi Bisnis Edisi 4," PURWANTO,Djoko,PURWANTO",Marketing,2011,25
Komunikasi Bisnis Edisi 5," Djoko Purwanto,Djoko Purwanto",Marketing,2019,9
Marketing 5.0 : Teknologi Untuk Kemanusiaan," Hermawan Kartajaya, Iwan Setiawan, Philip Kotler,Philip Kotler",Marketing,2022,9
Komunikasi Bisnis Edisi 8 Jilid 2," Courtland L. Bovee, John V. Thill,Courtland L. Bovee",Marketing,2008,8
Customer Services Excellent: Teori dan Praktik," Kasmir,Kasmir",Marketing,2017,5
Brand Operation," Andrizal, Anthony Darmaja,Desy Handayani",Marketing,2010,3
Komunikasi Bisnis dan Profesional," FLOYD, Yuyun Wirasasmita,CURTIS,Dan B.,James J.",Marketing,2000,3
Komunikasi Bisnis Edisi 3," PURWANTO,Djoko,PURWANTO",Marketing,2006,3
The Fundamental of Digital Marketing," Andreas Agung,Andreas Agung",Marketing,2021,2
The Advice Trap," Michael Bungay Stanier,Michael Bungay Stanier",Marketing,2020,2
