judul,penulis,kategori,tahun_terbit,total_peminjam
Dasar-Dasar Perpajakan & Akuntansi Pajak Ed.1," ASKARI, Herry Purwono, IQBAL,ASKARI,Hossein,Zamir",Perpajakan,2010,15
Akuntansi Pajak Edisi 6," WALUYO,WALUYO",Perpajakan,2017,14
Perpajakan Edisi Revisi," MARDIASMO,MARDIASMO",Perpajakan,2013,11
"Perpajakan Indonesia Buku Ed12, Buku 1"," WALUYO,WALUYO",Perpajakan,2018,8
Perpajakan Edisi 2019," MARDIASMO,MARDIASMO",Perpajakan,2019,7
Perpajakan Edisi Terbaru 2016," MARDIASMO,MARDIASMO",Perpajakan,2016,7
Pajak Terapan Brevet A&B Buku 2 Edisi 2011 Revisi," SUBIYAKTO, Teguh Hadi, WARDOYO,Amin,WARDOYO",Perpajakan,2011,6
Perpajakan Indonesia Edisi 4," Thomas Sumarsan,Thomas Sumarsan",Perpajakan,2015,6
Perpajakan Edisi Revisi 2011," MARDIASMO,MARDIASMO",Perpajakan,2011,5
Perpajakan Indonesia: Prinsip Dan Praktik," TMBooks,TMBooks",Perpajakan,2018,4
