judul,penulis,kategori,tahun_terbit,total_peminjam
In a Blue Moon," Ilana Tan,Ilana Tan",Retorika & Kumpulan Karya Sastra,2015,7
The Things You Can See Only When You Slow Down," Haemin Sunim,Haemin Sunim",Retorika & Kumpulan Karya Sastra,2018,7
Dua Dunia," Luna Torashyngu,Luna Torashyngu",Retorika & Kumpulan Karya Sastra,2018,6
Amor Fati," Rando Kim,Rando Kim",Retorika & Kumpulan Karya Sastra,2019,4
Critical Eleven," Ika Natassa,Ika Natassa",Retorika & Kumpulan Karya Sastra,2018,4
Demona," Anto Nugroho, Bayu Abdinegoro,Anto Nugroho",Retorika & Kumpulan Karya Sastra,2015,4
Jingga Untuk Matahari," Esti Kinasih,Esti Kinasih",Retorika & Kumpulan Karya Sastra,2017,4
Millennials Who Manage," Chip Espinoza, Joel Schwarzbart,Chip Espinoza",Retorika & Kumpulan Karya Sastra,2018,4
The Alchemist," Panlo Coelho,Panlo Coelho",Retorika & Kumpulan Karya Sastra,2002,4
The Orange Girl," Jostein Gaarder,Jostein Gaarder",Retorika & Kumpulan Karya Sastra,2019,4
