judul,tahun_terbit,kategori,penulis,total_peminjam
Akuntansi Keuangan Lanjutan Perspektif Indonesia Buku 1,2014,Akuntansi Lanjutan," Richard E. Baker, Thomas E. King, Valdean C. Lembke,Richard E. Baker",240
Manajemen Pemasaran Edisi 13 Jilid 1,2009,Manajemen Pemasaran," Kevin Lane Keller, Philip Kotler,Philip Kotler",154
"Pemasaran Jasa : Manusia, Teknologi, Strategi Perspektif Indonesia Jilid 1 Ed.7",2011,Manajemen Strategi," Christopher Lovelock, Jacky Mussry, Jochen Wirtz,Christopher Lovelock",150
Pengantar Akuntansi 1 Berbasis IFRS Edisi 2,2018,Akuntansi," Donald E., Kieso, Paul D. Kimmel, WEYGANDT,Jerry J.,WEYGANDT",147
Akuntansi Keuangan Menengah = Intermediate Accounting Volume 1 Edisi IFRS,2017,Akuntansi Lanjutan," Donal E, Jerry J, Kieso, Terry D. Warfield, Weygandt,Kieso",144
Akuntansi Keuangan Lanjutan Buku 1 Edisi 2,2019,Akuntansi Lanjutan," BAKER, CHRISTENSEN, David M. Cottrell, Theodore E.,BAKER,Richard E.",123
Akuntansi Perpajakan Berbasis ETAP Edisi 3,2014,Akuntansi," Estralita Trisnawati, Sukrisno Agoes,Sukrisno Agoes",110
Auditing dan Jasa Assurance: Pendekatan Terintegrasi Edisi 15 Jilid 1,2015,Audit Keuangan," Alvin A. Arens, Mark S. Beasley, Randal J. Elder,Alvin A. Arens",99
Pengantar Akuntansi Adaptasi Indonesia Edisi 25,2015,Akuntansi," Carl S. Warren, James M. Reeve, Jonathan E. Duchac,Carl S. Warren",93
Akuntansi Keuangan Lanjutan Edisi 2 Buku 2 (Perspektif Indonesia),2016,Akuntansi Lanjutan," David M. Cottrell, Etty Retno Wulandari, Kurnia Irwansyah Rais, Richard E. Baker, Theodore E. Christensen, Widhi Astono,Richard E. Baker",90
Manajemen Pemasaran Edisi 13 Jilid 2,2009,Manajemen Pemasaran," Kevin Lane Keller, Philip Kotler,Philip Kotler",90
Akuntansi Keuangan Menengah (Intermediate Acc. Vol 2) Edisi IFRS,2018,Akuntansi Lanjutan," KIESO, Terry D., WARFIELD, WEYGANDT,Donal E.,Jerry J.,WEYGANDT",87
Akuntansi Keuangan Menengah Berbasis PSAK-PSAK Konvergensi IFRS Buku 2,2015,Akuntansi Lanjutan," Dwi Martani, Ratna Wardhani, Sylvia Veronica NPS,Dwi Martani",87
Akuntansi Keuangan Lanjutan (Perspektif Indonesia) Buku 2,2013,Akuntansi Lanjutan," Richard E. Baker, Thomas E. King, Valdean C. Lembke,Richard E. Baker",84
Akuntansi Keuangan Menengah Berbasis PSAK-PSAK Konvergensi Buku 1 Ed.2,2016,Akuntansi Lanjutan," Dwi Martani, Ratna Wardhani, Sylvia Veronica NPS,Dwi Martani",66
Sistem Informasi Akuntansi Ed.13,2014,Sistem Informasi Akuntansi," ROMNEY, STEINBART,Marshall B.,Paul John,ROMNEY",61
Sistem Informasi Akuntansi Edisi 13,2016,Sistem Informasi Akuntansi," Marshall B. Romney, Paul John Steinbart,Marshall B. Romney",60
Financial Accounting IFRS Ed. 1Ed.,2011,Akuntansi," KIMMEL, WEYGANDT,Jerry J.,Paul D.,WEYGANDT",56
Pengantar Akuntansi 1  Edisi 4 Adaptasi Indonesia Berdasarkan PSAK terbaru,2017,Akuntansi," Amir Abadi, Carl S., JUSUF, Jonathan E. Duchac, WAHYUNI, WARREN, james M.,Ersa Tri,WARREN",45
Akuntansi Keuangan Menengah Berbasis PSAK Buku 1,2016,Akuntansi Lanjutan," Dwi Martani, Ratna Wardhani, Sylvia Veronica NPS,Dwi Martani",42
Cara Mudah Mempelajari Algoritma dan Struktur Data,2021,Ilmu Komputer," Ade Mulyana, Anton Sukamto, Bagus Priambodo, Muhammad Nashar, Septian Cahyadi, Yuswan Jumaryadi,Anton Sukamto",42
Manajemen Pemasaran Edisi 13 Jilid 2,2009,Manajemen Pemasaran," KELLER, KOTLER, Kevin Lane,KOTLER,Philip",42
Akuntansi Keuangan Lanjutan Buku 1 Ed.1,2013,Akuntansi Lanjutan," BAKER, LEMBKE,BAKER,Richard E.,Valdean C.",40
Pengantar Akuntansi Manajemen Jilid 2 Edisi 16,2016,Akuntansi Manajerial," Charles T., David Burgstahler, Gary L. Sundem, HORNGREN, Jeff Schatzberg,HORNGREN",40
Pengantar Ekonomi Mikro Edisi Asia Volume 1,2014,Kewirausahaan," Euston Quah, N. Gregory Mankiw, Peter Wilson,N. Gregory Mankiw",39
Etika Bisnis Dan Profesi: Tantangan Membangun Manusia Seutuhnya Edisi Revisi,2009,Etika Profesi," I Cenik Ardana, Sukrisno Agoes,Sukrisno Agoes",38
Akuntansi Keuangan Lanjutan 1 (Berbasis PSAK),2016,Akuntansi Lanjutan," Agustin Setya Ningrum, Dwi Martani, taufik hidayat, teguh I. Maulana,Dwi Martani",36
"Auditing dan Jasa Assurance Ed 12, Jilid 2",2008,Audit Keuangan," Alvin A. Arens, Mark S. Beasley, Randal J. Elder,Alvin A. Arens",36
Pengantar Akuntansi Manajemen Jilid 1 Ed.16,2016,Akuntansi Manajerial," Charles T., David Burgstahler, Gary L. Sundem, HORNGREN, Jeff Schatzberg,HORNGREN",36
Akuntansi Manajemen Buku 1,2014,Akuntansi Manajerial," Dody, Eko Widodo Lo, Frasto Biyanto, HAPSORO, SIREGAR, SURIPTO,Baldric,Bambang,HAPSORO",35
Akuntansi Keuangan Lanjutan Buku 1 Ed.1,2011,Akuntansi Lanjutan," BAKER, LEMBKE,BAKER,Richard E.,Valdean C.",34
Akuntansi Syariah di Indonesia edisi 5,2019,Ekonomi Syariah," Sri Nurhayati, Wasilah,Wasilah",32
Sistem Akuntansi Edisi 4,2016,Akuntansi," MULYADI,MULYADI",32
Sistem Informasi Akuntansi : Accounting Information Systems Edisi 13,2017,Sistem Informasi Akuntansi," Marshall B. Romney, Paul John Steinbart,Marshall B. Romney",32
Akutansi Keuangan Berdasarkan SAK Buku 1,2012,Akuntansi," KARTIKAHADI, SINAGA,Hans,KARTIKAHADI,Rosita Uli",28
Analisis Laporan Keuangan Edisi 5,2016,Laporan Keuangan," Abdul Halim, Mamduh M. Hanafi,Abdul Halim",28
Perpajakan Buku 1 Ed.8,2014,Akuntansi," RESMI,RESMI,Siti",28
Pengantar Akuntansi 2 Berbasis IFRS Edisi 2 (Financial Accounting IFRS 2 2nd Edition),2018,Akuntansi," Donal E, Jerry J, Kieso, Kimmel, Paul D., Weygandt,Kieso",27
Akuntansi Keuangan Lanjutan Perspektif Indonesia Buku 1,2010,Akuntansi Lanjutan," BAKER, LEMBKE,BAKER,Richard E.,Valdean C.",26
Audit Internal Sawyer Edisi 5 Buku 3,2006,Audit Keuangan," DITTENHOFER, SAWYER,Lawrence B.,Mortimer A.,SAWYER",26
Komunikasi Bisnis Edisi 4,2011,Marketing," PURWANTO,Djoko,PURWANTO",25
Bahasa Indonesia Mata Kuliah Pengembangan Kepribadian,2012,Linguistik," Dadi Waras Suhardjono, Devi Suswandari, Sri Satata,Sri Satata",24
"Metodologi Penelitian Ekonomi dan Sosial: Teori, Konsep, dan Rencana Proposal`",2017,Ilmu Ekonomi," Anna Yulianita, M. Irfan Tarmizi, Nurlina T. Muhyiddin,Nurlina T. Muhyiddin",24
Pengantar Akuntansi 1 Edisi 2,2016,Akuntansi," Agus Purwaji, H. Murtanto, WIBOWO,WIBOWO",24
The Power of Good Corporate Governance Edisi 2,2016,Manajemen Bisnis," Muh. Arief Effendi,Muh. Arief Effendi",24
Analisis Laporan Keuangan,2016,Laporan Keuangan," Kasmir,Kasmir",22
Intermediate Accounting Volume 1 IFRS Ed.,2011,Akuntansi Intermediate," KIESO, WEYGANDT,Donal E.,Jerry J.,WEYGANDT",22
Manajemen Strategik: Suatu Pendekatan Keunggulan Bersaing-Konsep Edisi 15,2016,Manajemen Strategi," Forest R. David, Fred R. David,Fred R. David",22
Metode Penelitian Untuk Bisnis : Pendekatan Pengembangan Keahlian Edisi 6 Buku 2,2017,Bisnis," Roger Bougie, Uma Sekaran,Uma Sekaran",22
Akuntansi Keuangan Daerah Berbasis Akrual,2015,Akuntansi Lanjutan," Erlina, Omar Sakti Rambe, Rasdianto,Erlina",21
Bank dan Lembaga Keuangan Lainnya Edisi Revisi 2014,2015,Ekonomi Keuangan," Kasmir,Kasmir",21
"Pemasaran Jasa : Manusia, Teknologi, Strategi Jilid 2 Ed.7",2011,Manajemen Strategi," Christopher Lovelock, Jack Mussry, Jochen Wirtz,Christopher Lovelock",21
Akuntansi Manajerial Edisi 8 Buku 1,2009,Akuntansi Manajerial," HANSEN, MOWEN,Don R.,HANSEN,Maryanne M.",20
Audit Internal Sawyer Edisi 5 Buku 2,2006,Audit Keuangan," DITTENHOFER, SAWYER,Lawrence B.,Mortimer A.,SAWYER",20
Cara Mudah Mempelajari Sistem Informasi Manajemen,2023,Manajemen Informasi," Anton Sukamto, Iswandi Sukartaatmadja,Anton Sukamto",20
Auditing Buku 1 Edisi 4,2012,Audit Keuangan," AGOES,AGOES,Prof.Dr.Sukrisno",19
Akuntansi Biaya Edisi 14 Buku 2,2011,Akuntansi Biaya," CARTER, Milton F., USRY, William K.,CARTER",18
Akuntansi Biaya Edisi 2,2016,Akuntansi Biaya," Agus Purwaji, Sabarudin Muslim, WIBOWO,WIBOWO",18
Akuntansi Biaya Edisi 2,2016,Akuntansi Biaya," Baldric Siregar, Bambang Suripto, Dody Hapsoro,Baldric Siregar",18
Akuntansi Suatu Pengantar Buku 1,2016,Akuntansi," Agustin Setyaningrum, Annisa Febriana, Catur Sasongko,Catur Sasongko",18
Auditing & Jasa Assurance Jilid 1 Ed.12,2008,Audit Keuangan," ARENS, Alvin A., ELDER, Randal J.,ARENS",18
Bank dan Lembaga Keuangan Lain,2016,Akuntansi," Menik Kurnia Siwi, Prof.Dr.Bustari Muchtar, Rose Rahmidani,M.Pd.,MM.,Prof.Dr.Bustari Muchtar,S.Pd.",18
Bank dan Lembaga Keuangan Lain Edisi 3,2017,Ekonomi Keuangan," BUDISANTOSO, Nuritomo,A.Totok,Nuritomo",18
METODE PENELITIAN BISNIS & ANALISIS DATA DENGAN SPSS,2018,Metode Riset," I Made Sudana, Rahmat Heru Setianto,I Made Sudana",18
Pendidikan Kewarganegaraan,2008,Kewarganegaraan," Agus Susarso, Hamdan Mansyur, Sumarsono,Sumarsono",18
Pengantar Keuangan Perusahaan Buku 1 (Edisi Global Asia),2015,Manajemen Keuangan," Bradford D. Jordan, Randolph W. Westerfield, Stephen A. Ross,Stephen A. Ross",18
Teknik Praktis Analisis Data Penelitian Sosial dan Bisnis dengan SPSS,2015,Ilmu Komputer," Budi Setiawan,Budi Setiawan",18
Auditing Buku 1,1996,Audit Keuangan," ARENS, Alvin A., James K., Loebbecke,ARENS",16
Auditing: Petunjuk Praktis Pemeriksaan Akuntan oleh Akuntan Publik Edisi 5 Buku 1,2017,Audit Keuangan," AGOES,AGOES,Sukrisno",16
Dasar-Dasar Manajemen Keuangan Buku 1 Ed.11,2013,Manajemen Keuangan," BRIGHAM, HOUSTON,BRIGHAM,Eugene F.,Joel F.",16
Intermediate Accounting Volume 2 IFRS Ed.,2011,Akuntansi Intermediate," KIESO, WEYGANDT,Donal E.,Jerry J.,WEYGANDT",16
Manajemen Pemasaran Edisi 13 Jilid 1,2009,Manajemen Pemasaran," KELLER, KOTLER, Kevin Lane,KOTLER,Philip",16
Metode Penelitian Untuk Bisnis : Pendekatan Pengembangan Keahlian Edisi 6 Buku 1,2017,Bisnis," Roger Bougie, Uma Sekaran,Uma Sekaran",16
Pengantar Manajemen Ed. Revisi,2018,Manajemen Keuangan," FAUZI, Rita Irviani,FAUZI",16
Aplikasi Komputer Edisi 3,2012,Ilmu Komputer," Nugi Nugraha, Suharno Pawirosumarto, Yusuf Elmande.,M.Kom,MM.,S.Kom.,S.Si.,Suharno Pawirosumarto",15
Dasar-Dasar Perpajakan & Akuntansi Pajak Ed.1,2010,Perpajakan," ASKARI, Herry Purwono, IQBAL,ASKARI,Hossein,Zamir",15
Sistem Ekonomi Indonesia: Tafsiran Pancasila dan UUD 1945,2014,Ilmu Ekonomi," Ahmad Erani Yustika, Dwi Budi Santosa, Munawar Ismail,Munawar Ismail",15
Statistik Teori dan Aplikasi Edisi 7 Jilid 1,2008,Statistik Umum," SUPRANTO,J.,SUPRANTO",15
Advanced Financial Accounting 7Ed.,2009,Akuntansi," BAKER, LEMBKE,BAKER,Richard E.,Valdean C.",14
Akuntansi Keu.Lanjutan Perspektif Ind. Buku 1 Ed.1,2010,Akuntansi Lanjutan," BAKER, LEMBKE,BAKER,Richard E.,Valdean C.",14
Akuntansi Manajemen Edisi 3 Revisi,2013,Akuntansi Manajerial," Ari Purwanti, Darsono Prawironegoro,Ari Purwanti",14
Akuntansi Pajak Edisi 6,2017,Perpajakan," WALUYO,WALUYO",14
Auditing & Jasa Assurance Jilid 2 Ed.15,2014,Audit Keuangan," ARENS, Alvin A., ELDER, Randal J.,ARENS",14
Pasar Modal dan Manajemen Portofolio Edisi 2,2015,Ekonomi Keuangan," Mohamad Samsul,Mohamad Samsul",14
"Pendidikan Kewarganegaraan (Civic Education) : Pancasila,Demokrasi,Hak asasi Manusia, dan Masyarakat Madani",2015,Kewarganegaraan," A. Ubaedillah, Abdul Razak,A. Ubaedillah",14
Teori Akuntansi Edisi Revisi 2011,2015,Akuntansi," Sofyan Syafri Harahap,Sofyan Syafri Harahap",14
Analisis Laporan Keuangan,2014,Laporan Keuangan," Irham Fahmi,Irham Fahmi",13
Analisis Laporan Keuangan Proyeksi dan Valuasi Saham,2015,Laporan Keuangan," Werner R. Murhadi,Werner R. Murhadi",13
Internal Audit,2011,Audit Keuangan," Valery G. Kumaat,Valery G. Kumaat",13
Manajemen Edisi 10 Jilid 1,2010,Manajemen," COULTER, ROBBINS,ALFANSI,Lizar,Mary,Stephen P.",13
Alat Analisis Data: Aplikasi Statistik untuk Penelitian Bidang Ekonomi dan Sosial,2018,Metode Riset," Irwan Gani, Siti Amalia,Irwan Gani",12
Audit Teknologi Informasi & Assurance Buku 1,2011,Audit Keuangan," HALL, James A., Singleton, Tommie,HALL",12
Auditing & Jasa Assurance Edisi 15 Jilid 2,2015,Audit Keuangan," Alvin A. Arens, Mark S. Beasley, Randal J. Elder,Alvin A. Arens",12
Dasar-Dasar Akuntansi Biaya Buku 1 Edisi 4,2017,Akuntansi Biaya," Michael W.Maher, Shannon W.Anderson, William N.Lanen,William N.Lanen",12
Kamus Inggris Indonesia an English-Indonesian Dictionary,2008,Bahasa Inggris," ECHOLS, Hassan, SHADILY,ECHOLS,John M.",12
Langkah Mudah Belajar Struktur Data Menggunakan C/C++,2017,Ilmu Komputer," Ema Utami, Windha Mega Pradnya D,Ema Utami",12
Manajemen Operasi Edisi 7 Buku 2,2008,Manajemen Operasi," HEIZER, RENDER,Barry,HEIZER,Jay",12
Manajemen Operasi Edisi 9 Buku 1,2009,Manajemen Operasi," HEIZER, RENDER,Barry,HEIZER,Jay",12
Manajemen Perkreditan,2014,Ekonomi Keuangan," Irham Fahmi,Irham Fahmi",12
Manajemen Portofolio dan Investasi Edisi 9 Buku 1,2014,Ekonomi Keuangan," Bodie, Kane, Marcus,Bodie",12
Pengantar Keuangan Perusahaan Buku 2 (Edisi Global Asia),2016,Manajemen Keuangan," Bradford D. Jordan, Randolph W. Westerfield, Stephen A. Ross,Stephen A. Ross",12
Pengantar Pasar Modal: Di Desain Untuk Mempelajari Pasar Modal Dengan Mudah Dan Praktis,2019,Ekonomi Keuangan," Martalena, Maya Malinda,Martalena",12
Sistem Informasi Manajemen Edisi 10,2008,Manajemen Informasi," George, Mc LEOD Jr., SCHELL,Mc LEOD Jr.,Raymond",12
Teori Akuntansi Keuangan,2012,Akuntansi Lanjutan," Rahmawati,Rahmawati",12
