Judul,Author,Genre,Year,Rating
Analisis laporan keuangan,Kasmir,Laporan Keuangan,2016.0,4.22
Cara Mudah Memahami Laporan Keuangan,Joeliardi Sunendar,Laporan Keuangan,2020.0,4.67
Analisis Laporan Keuangan,Irham Fahmi,Laporan Keuangan,2012.0,4.45
"Analisis Kritis Laporan Keuangan Bank Sentral ASEAN, Asia, Dan Eropa",Marsuki,Laporan Keuangan,2019.0,4.5
Praktis Menyusun Laporan Keuangan,Hery,Laporan Keuangan,2017.0,4.67
Mudahnya Bikin Laporan Keuangan Bisnis Online,"Muri Handayani, 
Sherly Santika",Laporan Keuangan,2017.0,3.67
Menyusun laporan keuangan untuk UKM dengan Microsoft Excel,Johar Arifin,Laporan Keuangan,2019.0,3.25
Mengenal dan Memahami Dasar-dasar Laporan Keuangan,Hery,Laporan Keuangan,2016.0,4.6
Menyusun Laporan Keuangan & Auditing di Excel,Christopher Lee,Laporan Keuangan,2012.0,4.33
Ngutak-ngatik Laporan Keuangan dengan Cara Komik,Peni R. Pramono,Laporan Keuangan,2018.0,5.0
Seri Usaha Kecil Menengah: Membuat Laporan Keuangan Perusahaan Segampang Milik Warung Sebelah,Peni R. Pramono,Laporan Keuangan,2017.0,5.0
Rahasia Cepat Menguasai Laporan Keuangan Dengan Akuntansi Dasar,Ferra Pujiyanti,Laporan Keuangan,2015.0,4.0
Mudah Membaca Laporan Keuangan,Bambang Wahyudiono,Laporan Keuangan,2014.0,4.8
Membuat Laporan Keuangan Gampang,Ryan A,Laporan Keuangan,2015.0,5.0
Jurus Kilat Membuat Laporan Keuangan Pt. Cv. Persero,Ajeng Wind,Laporan Keuangan,2014.0,4.7
Panduan Penerapan Reviu Laporan Keuangan Pemerintah Daerah,"Dadang Suwanda,Se.,Mm.,M.Ak.,C.,Dkk",Laporan Keuangan,2017.0,5.0
