Judul,Author,Genre,Year,Rating
Ketika Jurnalisme Dibungkam Sastra Harus Bicara,Seno Gumira Ajidarma,Retorika & Kumpulan Karya Sastra,2016.0,4.06
"Teori, Metode, dan Teknik Penelitian Sastra",Nyoman Kutha Ratna,Retorika & Kumpulan Karya Sastra,2016.0,4.08
100 Puisi Indonesia Terbaik 2008: Anugerah Sastra Pena Kencana,Anugerah Sastra Pena Kencana,Retorika & Kumpulan Karya Sastra,2016.0,3.58
Kekerasan Budaya Pasca 1965: Bagaimana Orde Baru Melegitimasi Anti-Komunisme Melalui Sastra dan Film,Wijaya Herlambang,Retorika & Kumpulan Karya Sastra,2019.0,4.32
Teori Pengkajian Sastra,Burhan Nurgiyantoro,Retorika & Kumpulan Karya Sastra,2018.0,4.1
"Psikologi Sastra: Karya, Metode, Teori, dan Contoh Kasus",Albertine Minderop,Retorika & Kumpulan Karya Sastra,2010.0,4.24
Pramoedya Ananta Toer dan Sastra Realisme Sosialis,Eka Kurniawan,Retorika & Kumpulan Karya Sastra,2016.0,3.82
Sastra Jendra Hayuningrat Pangruwating Diyu,Agus Sunyoto,Retorika & Kumpulan Karya Sastra,2012.0,4.17
Ikhtisar Sejarah Sastra Indonesia,Ajip Rosidi,Retorika & Kumpulan Karya Sastra,2018.0,3.92
Sastra dan Religiositas,Y.B. Mangunwijaya,Retorika & Kumpulan Karya Sastra,2016.0,4.17
"Sastra Anak, Pengantar Pemahaman Dunia Anak",Burhan Nurgiyantoro,Retorika & Kumpulan Karya Sastra,2018.0,4.06
Realisme Sosialis dan Sastra Indonesia,Pramoedya Ananta Toer,Retorika & Kumpulan Karya Sastra,2018.0,3.91
Seratus Buku Sastra Indonesia yang Patut Dibaca Sebelum Dikuburkan,An Ismanto,Retorika & Kumpulan Karya Sastra,2018.0,4.06
"Sastra, Perempuan, Seks",Katrin Bandel,Retorika & Kumpulan Karya Sastra,2018.0,3.8
Metode & Teori Pengajaran Sastra,Suwardi Endraswara,Retorika & Kumpulan Karya Sastra,2014.0,3.85
Solilokui: Kumpulan Esei Sastra,Budi Darma,Retorika & Kumpulan Karya Sastra,2020.0,4.12
