Judul,Author,Genre,Year,Rating
Akuntansi Manajemen Edisi 2,"Prof. Dr. Dermawan Sjahrial, Djahotman Pudba, Gunawan",Akuntansi Manajemen,2022.0,4.5
Mahir Akuntansi: Belajar Cepat Akuntansi Biaya & Akuntansi Manajemen,Temy Setiawan,Akuntansi Manajemen,2021.0,5.0
Akuntansi Manajemen,Krismiaji,Akuntansi Manajemen,2011.0,4.9
Akuntansi Management Sebuah Pengantar Ed.5,Slamet Sugiri Sodikin,Akuntansi Manajemen,2023.0,5.0
Akuntansi Sektor Publik,Indra Bastian,Akuntansi,2021.0,4.15
Akuntansi Forensik dan Audit Investigatif,Theodorus M. Tuanakotta,Akuntansi,2017.0,4.07
Teori Akuntansi,Sofyan Syafri Harahap,Akuntansi,2017.0,4.12
Akuntansi Intermediate Jilid 1,Donald E. Kieso,Akuntansi Intermediate,2018.0,4.12
Pengantar Akuntansi: Konsep & Teknik Penyusunan Laporan Keuangan,Jerry J. Weygandt,Laporan Keuangan,2024.0,4.05
Akuntansi Biaya,Terry D. Warfield,Akuntansi Biaya,2006.0,3.82
Akuntansi Koperasi,Rudianto,Akuntansi Koperasi,2024.0,4.38
Akuntansi Islam,Sofyan Syafri Harahap,Akuntansi Islam,2014.0,4.12
Akuntansi Pendidikan,Indra Bastian,Akuntansi Pendidikan,2021.0,4.27
Akuntansi Kesehatan,Indra Bastian,Akuntansi,2019.0,4.39
Akuntansi untuk Kecamatan & Desa,Indra Bastian,Akuntansi,2019.0,4.71
Akuntansi Pemerintahan Daerah,Irwan Taufiq Ritonga,Akuntansi,2010.0,4.6
Akuntansi Untuk LSM dan Partai Politik,Srikant M. Datar,Akuntansi,2017.0,4.36
Akuntansi Dasar 1 dan 2,George  Foster,Akuntansi,2018.0,5.0
Pengantar Akuntansi,Hery,Akuntansi,2015.0,4.2
REFORMASI AKUNTANSI “MEMBONGKAR BOUNDED RATIONALITY”,Irsan Lubis,Akuntansi,2022.0,4.43
Manajemen Keuangan dan Akuntansi Perusahaan Pelayaran :Suatu Pendekatan Praktis dalam Bidang Usaha Pelayaran,Engkos Kosasih,Akuntansi,2021.0,4.43
Akuntansi Proyek dengan ACCURATE 4 - EDISI REVISI,S.Kom,Akuntansi Proyek,2010.0,5.0
Akuntansi Internasional,"Sunardi, Danang Sunyoto",Akuntansi Internasional,2018.0,5.0
PENGANTAR AKUNTANSI PERUSAHAAN,Nico,Akuntansi Perusahaan,2011.0,4.0
Akuntansi Pengantar Berbasis Accurate,Sugiarto Prajitno,Akuntansi,2010.0,5.0
Akuntansi Dasar,Elvy Maria Manurung,Akuntansi,2011.0,4.0
DASAR-DASAR AKUNTANSI MENGGUNAKAN MICROSOFT OFFICE EXCEL,Johar Arifin,Akuntansi,2019.0,4.4
MS Excel untuk Akuntansi,Beranda Agency,Akuntansi,2013.0,4.67
AKUNTANSI UMKM TERNYATA MUDAH DIPAHAMI DAN DIPRAKTIKKAN,Sony Warsono bin Hardono,Akuntansi,2011.0,3.33
Akuntansi Lanjutan,Floyd A. Beams,Akuntansi Lanjutan,2010.0,3.94
"Akuntansi Itu Mudah, Kok!",Rachmita Dewi,Akuntansi,2017.0,3.0
Akuntansi Pengantar 1,Faiz Zamzami,Akuntansi,2017.0,5.0
AKUNTANSI MANUFAKTUR DAN UKM DENGAN MYOB,Ali Mahmudi,Akuntansi,2010.0,5.0
Program Akuntansi Terpadu untuk Bisnis Retail dengan Visual Basic,Lim Phek Yiong,Akuntansi,2018.0,4.0
