Judul,Author,Genre,Year,Rating
Auditing and assurance services : an integrated approach,"Randal J. Elder, Mark S. Beasley, Alvin A. Arens",Audit,2018.0,5.0
Auditing & Jasa Assurance Services Edisi 15 Jilid 1: Pendekatan Terintegrasi,Alvin A Arens Dkk,Audit,2015.0,5.0
Audit Internal Berbasis Risiko,"Prof. Doddy Setiawan, S.E., M.Si., IMRI., Ph.D., Akt., CA.",Audit,2019.0,5.0
Audit Lingkungan,Chafid Fandeli,Audit,2020.0,5.0
Pemeriksaan Manajemen Internal Audit,Akmal,Audit,2018.0,5.0
Manajemen Keuangan (Edisi Revisi Kedua),"Prof.Dr. Kamaludin, S.E., M.M.Dr. Rini Indriani, S.E., M.Si., Ak., Ca.",Manajemen Keuangan,2022.0,5.0
Manajemen Keuangan Lanjutan Edisi Revisi,Prof.Dr.Dermawan Sjahrial Mm,Manajemen Keuangan,2014.0,4.8
Sampling Dalam Auditing Edisi Ke 3,Johannes Supranto,Audit,2012.0,5.0
Cara Mudah Belajar Akuntansi Edisi 2 Buku 1,Sukrisno Agoes,Akuntansi,2021.0,5.0
Fraud Auditing&Investigation,Diaz Priantara,Audit,2010.0,5.0
Manajemen Audit Keuangan  : Ternyata Audit Itu Mudah,"Indra Mahardika Putra, Se. Ak, M. Ak",Audit Keuangan,2015.0,5.0
Tanya Jawab Audit 1,Drs. Amin Widjaja Tunggal,Audit,2016.0,5.0
Tanya-Jawab Audit 2,Amin Widjaja Tunggal,Audit,2016.0,5.0
Tanya Jawab Seputar Audit Operasional,Amin Widjaja Tunggal,Audit,2016.0,5.0
Panduan Audit Sistem Mutu,Gilang Priyadi,Audit,2015.0,5.0
Dasar-Dasar Audit,Amin Widjaja Tunggal,Audit,2018.0,3.0
Teknik-teknik Audit Internal,Amin Widjaja Tunggal,Teknik Audit,2016.0,5.0
Audit Sektor Publik,Ihyaulu,Audit,2019.0,5.0
Audit Lingkungan Rumah Sakit,Wiku Adisasmito,Audit,2017.0,5.0
