Judul,Author,Genre,Year,Rating
Pengantar Manajemen Keuangan Edisi Kedua,Kasmir,Pengantar Manajemen,2016.0,4.9
Manajemen Kampanye Edisi Revisi,"Dr. Antar Venus, M.A",Ekonomi,2019.0,4.9
Manajemen Sumber Daya Manusia,Kasmir,Manajemen Sumber Daya Manusia,2016.0,5.0
Manajemen Perbankan,Kasmir,Perbankan,2015.0,5.0
Analisis laporan keuangan,Kasmir,Laporan Keuangan,2016.0,4.22
Pengantar Manajemen Keuangan,Kasmir,Manajemen Keuangan,2019.0,4.47
Bank dan Lembaga Keuangan Syariah,Unggul Priyadi,Ekonomi Keuangan,2019.0,4.0
Bank dan Lembaga Keuangan Non Bank,Murti Lestari,Ekonomi Keuangan,2020.0,3.5
Bank dan Lembaga Keuangan Lainnya,"Kasmir, S.E., M.M.",Ekonomi Keuangan,2022.0,4.3
Bank Islam: Analisis Fiqih dan Keuangan,Adiwarman Karim,Keuangan Syraiah,2020.0,4.25
Integrasi Keuangan dan Moneter di Asia Timur : Peluang dan Tantangan bagi Indonesia,"Sjamsul Arifin (ed.)
 (Editor), R. Winantyo
 (Editor),Yati Kurniati
 (Editor)",Keuangan,2017.0,5.0
Cara Gampang Mengelola Keuangan Pribadi dan Keluarga,"Indrasto Budisantoso,Gunanto",Manajemen Keuangan,2010.0,4.0
"Ekonomi, Keuangan, Dan Moneter: Analisis, Peristiwa, Masalah",Nurdjaman Arsjad,Ekonomi,2019.0,3.67
Globalisasi dan Kegagalan Lembaga-Lembaga Keuangan International,Joseph E. Stiglitz,Keuangan Internasional,2017.0,3.87
Manajemen Investasi Dan Portofolio,"EMBUN PROWANTO,DR.MM.CSA.CRP,CFP DAN DIDIT HERLIANTO,DRS.EC.MSI,CRP",Manajemen Keuangan,2020.0,5.0
Manajemen Keuangan Perusahaan dan Pasar Modal,Irham Fahmi,Manajemen Keuangan,2014.0,5.0
Gesit dan Taktis di Pasar Modal: Berbekal Behavioral Finance,Budi Frensidy,Keuangan,2016.0,5.0
Manajemen Keuangan Perusahaan dan Pasar Modal,Irham Fahmi,Manajemen Keuangan,2012.0,5.0
Pasar Modal & Manajemen Portofolio Ed 2,Mohamad Samsul,Pasar Modal,2015.0,4.5
"Kamus Istilah Pasar Modal, Akuntansi, Keuangan, Dan Perbankan",Stewart C. Myers,Keuangan,2018.0,4.12
Pasar Modal & Manajemen Portofolio,Mohamad Samsul,Pasar Modal,2015.0,4.03
Manajemen Sumber Daya Manusia Teori & Aplikasi,Irham Fahmi,Manajemen Sumber Daya Manusia,2022.0,5.0
Pengantar Manajemen Keuangan Teori Dan Soal Jawab,Irham Fahmi,Pengantar Manajemen,2018.0,5.0
Manajemen Perbankan Konvensional&Syariah,Irham Fahmi,Manajemen Perbankan,2015.0,5.0
Analisis Laporan Keuangan,Irham Fahmi,Laporan Keuangan,2012.0,4.45
Manajemen  Investasi & Portofolio,Jaja Suteja & Ardi Gunardi,Manajemen Keuangan,2016.0,5.0
"Pengantar Pasar Modal, Didesain untuk Mempelajari Pasar Modal Dengan Mudah & Praktis (Edisi Revisi)",Martalena&Maya Malinda,Pasar Modal,2024.0,5.0
Pengantar Pasar Modal,Martalena&Maya Malinda,Pasar Modal,2024.0,4.5
Perencanaan Keuangan Pribadi,Maya Malinda,Perencanaan Keuangan,2017.0,3.83
Perencanaan Keuangan,Maya Malinda,Perencanaan Keuangan,2018.0,3.83
"Buku Pintar Keuangan Syariah: Cara Mudah Memahami Prinsip, Praktik, Prospek, dan Keunggulan Keuangan Islam di Zaman Kita",Daud Vicary Abdullah,Keuangan Syraiah,2023.0,4.33
Otoritas Jasa Keuangan & Konglomerasi Keuangan: Tinjauan Ekonomi-Politik,"Makmur Keliat, Asra Virgianita, Agus Catur Aryanto Putro
",Keuangan,2015.0,5.0
Keuangan negara dan Badan Pemeriksa Keuangan,Tim Bepeka,Keuangan Publik,2021.0,3.75
Manajemen Perbankan: Menuju Bankir Konvensional yang Profesional,"Prof Dr I Wayan S  Prof. Dr. I Wayan Sudirman, SE., SU.",Manajemen Perbankan,2018.0,4.8
Manajemen,"Dr.Mamduh M.Hanafi,Mba",Manajemen Umum,2022.0,5.0
Manajemen Perbankan,Catharina Vista Okta Frida,Manajemen Perbankan,2020.0,5.0
Manajemen Strategi,Catharina Vista Okta Frida,Manajemen Strategi,2020.0,3.5
Sistem Informasi Manajemen Perbankan,H.Dadang Husen Sobana,Sistem Informasi Manajemen,2019.0,4.8
Manajemen Risiko Perbankan Syariah,"Yuke Rahmawati, M.A.",Manajemen Risiko,2022.0,5.0
Pengendalian Akuntansi dan Manajemen,Yoshihiro To,Manajemen,2014.0,5.0
Manajemen Perbankan Dari Teori Menuju Aplikasi,"Ismail   Drs. Ismail, MBA., Ak.",Manajemen Perbankan,2010.0,4.5
Manajemen Perbankan,"Dr.Kuras Purba,S.E.,M.M.",Manajemen Perbankan,2019.0,4.5
Manajemen Perbankan,"Dr. Alexander Thian, M.Si.",Manajemen Bisnis,2021.0,5.0
Prinsip2 Manajemen,George R.terry,Manajemen,2016.0,4.9
Manajemen Perbankan,Herman Darmawi,Manajemen Keuangan,2018.0,5.0
Manajemen Edisi 2,T. Hani Handoko,Manajemen,2018.0,4.8
Tata Kelola Manajemen Risiko Perbankan,Ikatan Bankir Indonesia,Manajemen Risiko,2015.0,5.0
Buku Ajar Manajemen Perbankan Syariah,Gita Danupranata,Manajemen Bisnis,2022.0,5.0
Manajemen Dasar Pengertian & Masalah E-Rev,Malayu,Manajemen,2024.0,4.0
Manajemen Perbankan,HERY S.E M. SI. CRP.,Perbankan,2021.0,5.0
Manajemen Perbankan,"HERY, S.E , M. SI., CRP",Manajemen Perbankan,2021.0,5.0
"Manajemen: Manajemen Risiko, Prinsip Manajemen, Perencanaan, Akuntansi Manajemen, Tata Kelola Perusahaan, Kepuasan Kerja, Kaizen",Source Wikipedia,Akuntansi Manajemen,2011.0,5.0
"Manajemen Dasar, Pengertian dan Masalah",Malayu S.P. Hasibuan,Manajemen,2015.0,4.01
Manajemen Jilid 1,"Stephen P. Robbins,Mary A. Coulter,T. Hermaya",Manajemen,2020.0,3.74
Asas-Asas Manajemen,Ulbert Silalahi,Manajemen,2011.0,4.19
Dimensi Manajemen Pendidikan Islam,Mujamil Qomar,Manajemen,2015.0,4.38
Risiko Manajemen Perbankan,Wawan H. Purwanto,Keuangan Perbankan,2011.0,4.12
Asas Manajemen,Usman Effendi,Manajemen,2015.0,5.0
Manajemen Jilid 2,"Stephen P. Robbins,Mary A. Coulter",Manajemen,2016.0,4.0
manajemen,puataka,Manajemen,2010.0,5.0
"Seri Pintar Perbankan, Kredit Bank Umum Menurut Teori Dan Praktik Perbankan Indonesia","Dr. A. Wangsawidjaja Z., S.h., M.h.",Perbankan,2021.0,5.0
Dasar-Dasar Manajemen Keuangan,Niki Lukviarman,Manajemen Keuangan,2016.0,4.21
Panduan Praktis Dasar Analisa Keuangan,"Arief Sugiono, S.E., M.Ak.",Keuangan,2016.0,4.0
Dasar-Dasar Manajemen Keuangan,Niki Lukviarman,Manajemen Keuangan,2006.0,4.21
Manajemen Keuangan Teori Konsep dan Aplikasi,Sutrisno,Manajemen Keuangan,2017.0,5.0
