Judul,Author,Genre,Year,Rating
Manajemen Keuangan Sektor Publik,Abdul Halim,Manajemen Keuangan,2020.0,4.8
Manajemen Keuangan Daerah Ed 4: Seri Bunga Rampai,"ABDUL HALIM, MUHAMMAD IQBAL",Manajemen Keuangan,2018.0,5.0
Manajemen Keuangan Sektor Publik: Problematika Penerimaan dan Pengeluaran Pemerintah Edisi 2,Abdul Halim (Penyunting),Manajemen Keuangan Publik,2016.0,4.0
Manajemen Keuangan International Edisi 3,"Dr.Mamduh M.Hanafi,Mba",Manajemen Keuangan,2019.0,4.7
Manajemen Keuangan Ed 2,Mamduh M. Hanafi,Manajemen Keuangan,2016.0,4.8
Pengantar Akuntansi: Konsep & Teknik Penyusunan Laporan Keuangan,Jerry J. Weygandt,Laporan Keuangan,2024.0,4.05
Analisis laporan keuangan,Kasmir,Laporan Keuangan,2016.0,4.22
Pengantar Akuntansi: Konsep & Teknik Penyusunan Laporan Keuangan,Rudianto,Laporan Keuangan,2012.0,4.05
"Pengukuran Kinerja Keuangan Perusahaan Asuransi Kerugian Di Indonesia: Dengan Analisis Rasio Keuangan ""Early Warning System""",Salusra Satria,Keuangan,2019.0,4.29
Analisis laporan keuangan,Hery,Laporan Keuangan,2018.0,4.73
Cara Mudah Memahami Laporan Keuangan,Joeliardi Sunendar,Laporan Keuangan,2020.0,4.67
Analisis Laporan Keuangan,Irham Fahmi,Laporan Keuangan,2012.0,4.45
"Analisis Kritis Laporan Keuangan Bank Sentral ASEAN, Asia, Dan Eropa",Marsuki,Laporan Keuangan,2019.0,4.5
Analisis Laporan Keuangan,Toto Prihadi,Laporan Keuangan,2019.0,4.67
Praktis Menyusun Laporan Keuangan,Hery,Laporan Keuangan,2017.0,4.67
Mudahnya Bikin Laporan Keuangan Bisnis Online,"Muri Handayani, 
Sherly Santika",Laporan Keuangan,2017.0,3.67
Otoritas Jasa Keuangan & Konglomerasi Keuangan: Tinjauan Ekonomi-Politik,"Makmur Keliat, Asra Virgianita, Agus Catur Aryanto Putro
",Keuangan,2015.0,5.0
Menyusun laporan keuangan untuk UKM dengan Microsoft Excel,Johar Arifin,Laporan Keuangan,2019.0,3.25
Mengenal dan Memahami Dasar-dasar Laporan Keuangan,Hery,Laporan Keuangan,2016.0,4.6
Menyusun Laporan Keuangan & Auditing di Excel,Christopher Lee,Laporan Keuangan,2012.0,4.33
Ngutak-ngatik Laporan Keuangan dengan Cara Komik,Peni R. Pramono,Laporan Keuangan,2018.0,5.0
Seri Usaha Kecil Menengah: Membuat Laporan Keuangan Perusahaan Segampang Milik Warung Sebelah,Peni R. Pramono,Laporan Keuangan,2017.0,5.0
Rahasia Cepat Menguasai Laporan Keuangan Dengan Akuntansi Dasar,Ferra Pujiyanti,Laporan Keuangan,2015.0,4.0
Dasar - Dasar Akuntansi Biaya Edisi 4,Abdul Halim,Akuntansi Biaya,2015.0,4.6
Mudah Membaca Laporan Keuangan,Bambang Wahyudiono,Laporan Keuangan,2014.0,4.8
Membuat Laporan Keuangan Gampang,Ryan A,Laporan Keuangan,2015.0,5.0
Jurus Kilat Membuat Laporan Keuangan Pt. Cv. Persero,Ajeng Wind,Laporan Keuangan,2014.0,4.7
Panduan Penerapan Reviu Laporan Keuangan Pemerintah Daerah,"Dadang Suwanda,Se.,Mm.,M.Ak.,C.,Dkk",Laporan Keuangan,2017.0,5.0
Analisis Laporan Keuangan Pemerintah Daerah,M Ramli Faud,Laporan Keuangan,2016.0,5.0
Analisa Laporan Keuangan,"Hery, Se",Laporan Keuangan,2016.0,5.0
Manajemen Keuangan Perusahaan dan Pasar Modal,Irham Fahmi,Manajemen Keuangan,2014.0,5.0
Manajemen Keuangan Perusahaan dan Pasar Modal,Irham Fahmi,Manajemen Keuangan,2012.0,5.0
Aplikasi Fisika dalam Analisis Keuangan,Hokky Situngkir,Analisis Keuangan,2018.0,4.42
Revolusi Keuangan Total,Rudi Hartono,Keuangan,2015.0,5.0
Integrasi Keuangan dan Moneter di Asia Timur : Peluang dan Tantangan bagi Indonesia,"Sjamsul Arifin (ed.)
 (Editor), R. Winantyo
 (Editor),Yati Kurniati
 (Editor)",Keuangan,2017.0,5.0
Pengantar Manajemen Keuangan Teori Dan Soal Jawab,Irham Fahmi,Pengantar Manajemen,2018.0,5.0
Manajemen Keuangan Multinasional Edisi 11 Jilid 1,David K,Manajemen Keuangan,2020.0,4.8
