Judul,Author,Genre,Year,Rating
Manajemen Keuangan Ed 4,Indriyo Gitosudarmo,Manajemen Keuangan,2022.0,4.9
Manajemen Keuangan Sebagai Dasar Pengambilan Keputusan Bisnis,"Ni Luh Gede Erni Sulindawati, S.E., Ak., M.Pd.  Ni Luh Gede Erni Sulindawati, S.E., Ak., M.Pd.  I Gusti Ayu Purnamawati, S.E., Ak., M.Si.  Gede Adi Yuniarta, S.E., Ak., M.Si.",Manajemen Keuangan,2021.0,5.0
Pengantar Manajemen Keuangan,Kasmir Se,Manajemen Keuangan,2016.0,5.0
Manajemen Keuangan Bisnis Konsep Dan Aplikasinya,Abdul Halim,Manajemen Keuangan,2015.0,4.8
Dasar2 Manajemen Keuangan Ed 7,Suad Husnan  Suad Husnan & Enny Pudjiastuti,Manajemen Keuangan,2015.0,4.8
Manajemen Keuangan,"Erna Chotidjah Suhatmi, SE.,M.Ak",Manajemen Keuangan,2023.0,5.0
Manajemen Lembaga Keuangan Non-Bank,"Dr.Kuras Purba,S.E.,M.M.",Manajemen Keuangan,2019.0,4.9
Artificial Intelligence dan Manajemen Keuangan,"Nora Amelda Rizal, Astrie Krisnawati, Dwi Fitrizal Salim, Adhi Prasetio",Manajemen Keuangan,2021.0,4.0
Manajemen Keuangan Desa Bagian 3: Pelaksanaan Keuangan Desa,"Riant Nugroho, Firre An Suprapto, SAP., M. Pd",Manajemen Keuangan,2021.0,3.5
Manajemen Keuangan Desa Bagian 1: Konsep Dasar,"Riant Nugroho, Firre An Suprapto, SAP., M. Pd",Manajemen Keuangan,2018.0,5.0
Manajemen Keuangan: Teori Aplikasi dan Hasil Penerapan,V Wiratna Sujarweni,Manajemen Keuangan,2018.0,4.8
Praktikum Manajemen Keuangan 1 Berbasis IFRS,David Wijaya,Manajemen Keuangan,2016.0,5.0
Manajemen Keuangan Untuk Perusahaan,Danang Sunyoto,Manajemen Keuangan,2015.0,4.7
Manajemen Keuangan Untuk Wirausaha Mula,"DR. IR. SUBIAKTO SOEKARNO, MBA., CFP., CWM. DKK",Manajemen Keuangan,2021.0,4.9
Manajemen Keuangan Syariah,H.Dadang Husen Sobana,Manajemen Keuangan,2018.0,4.7
Pengantar Manajemen Pajak,"Indra Mahardika Putra, Se. Ak, M. Ak",Manajemen Keuangan,2023.0,5.0
Manajemen Perencanaan Keuangan,"Dr. Ir. Subiakto Soekarno, M.B.A., CFP®️., CWM®️., AEPP®️ dan Dr. Sylviana Maya Damayanti, S.T., M.B.A., CFP®️., CWM®️., AEPP®️.",Manajemen Keuangan,2020.0,5.0
Manajemen Keuangan Perusahaan Dilengkapi Soal dan Penyelesaian Edisi 2,Dr J.p Sitanggang,Manajemen Keuangan,2014.0,5.0
Manajemen Keuangan: Konsep Dan Aplikasi,Thomas Sumarsan,Manajemen Keuangan,2021.0,5.0
Manajemen Keuangan Konsep dan Penerapannya,David Wijaya,Manajemen Keuangan,2017.0,4.6
Manajemen Keuangan Pemerintah Daerah,Mahmudi,Manajemen Keuangan,2010.0,4.9
Pengantar Manajemen Keuangan Edisi Kedua,Kasmir,Pengantar Manajemen,2016.0,4.9
Manajemen Keuangan Rumah Sakit,"Drs. Rachmat Suyanto, M.A.R.S. dkk.",Manajemen Keuangan,2021.0,5.0
Aplikasi Manajemen Keuangan Berbasis Android +Dvd,"NAZRUDDIN SAFAAT H., M.T.",Manajemen Keuangan,2021.0,5.0
Manajemen Keuangan,Harmono,Manajemen Keuangan,2022.0,5.0
Manajemen Keuangan,Musthafa,Manajemen Keuangan,2017.0,4.7
Otonomi+Manajemen Keuangan Daerah,"Mardiasmo   Prof. Dr. Mardiasmo, Mba.",Manajemen Keuangan,2021.0,5.0
Pengantar Ekonomi & Bisnis Global Edisi 3 : Manajemen Keuangan Internasional,Mudrajad Kuncoro,Pengantar Manajemen,2017.0,5.0
Manajemen Keuangan Perusahaan Modern Edisi 2,"Dr.Sulaeman Rahman Nidar, SE., MBA",Manajemen Keuangan,2016.0,5.0
Manajemen Keuangan Internasional Edisi 5,"PROF. DR. HAMDY HADY, DEA.",Manajemen Keuangan,2020.0,4.6
Manajemen Keuangan Sektor Publik,Abdul Halim,Manajemen Keuangan,2020.0,4.8
Manajemen Keuangan Daerah Ed 4: Seri Bunga Rampai,"ABDUL HALIM, MUHAMMAD IQBAL",Manajemen Keuangan,2018.0,5.0
Manajemen Keuangan Syariah,HAMDI AGUSTIN,Manajemen Keuangan,2021.0,4.6
Manajemen Keuangan (Edisi Revisi Kedua),"Prof.Dr. Kamaludin, S.E., M.M.Dr. Rini Indriani, S.E., M.Si., Ak., Ca.",Manajemen Keuangan,2022.0,5.0
Manajemen Keuangan Sektor Publik: Problematika Penerimaan dan Pengeluaran Pemerintah Edisi 2,Abdul Halim (Penyunting),Manajemen Keuangan Publik,2016.0,4.0
Manajemen Keuangan Pribadi Cerdas Mengelola Keuangan Single Edition,Diyan Lestari,Manajemen Keuangan Pribadi,2016.0,4.2
Manajemen Keuangan Lanjutan,Gendro Wiyono,Manajemen Keuangan,2017.0,5.0
Otonomi Dan Manajemen Keuangan Daerah Edisi Terbaru,"Prof. Dr. Mardiasmo, Mba., Ak",Manajemen Keuangan Daerah,2018.0,5.0
Manajemen Keuangan Sektor Publik,"BERTO USMAN, S.E., M.SC., PH.D.PROF. DR. RIDWAN NURAZI, S.E., M.SC., AK., CA.",Manajemen Keuangan Publik,2021.0,5.0
Mudah Memahami Manajemen Keuangan,Farah Margaretha Leon,Manajemen Keuangan,2023.0,5.0
Teori&Praktik Manajemen Keuangan,Lukas S,Manajemen Keuangan,2010.0,4.8
Manajemen Keuangan & Akuntansi Perusahaan Pelayaran,Engkos Kosasih,Manajemen Keuangan,2021.0,5.0
Manajemen Keuangan International Edisi 3,"Dr.Mamduh M.Hanafi,Mba",Manajemen Keuangan,2019.0,4.7
Manajemen Keuangan Perusahaan dan Pasar Modal,Irham Fahmi,Manajemen Keuangan,2014.0,5.0
Manajemen Keuangan Ed 2,Mamduh M. Hanafi,Manajemen Keuangan,2016.0,4.8
"Manajemen Keuangan Dan Bisnis, Teori Dan Aplikasi","Dr. Agus S. Irfani, MBA",Manajemen Keuangan,2020.0,4.7
Manajemen Keuangan Lanjutan Edisi Revisi,Prof.Dr.Dermawan Sjahrial Mm,Manajemen Keuangan,2014.0,4.8
Manajemen Keuangan,"PROF. DR. HAMIDAH, SE.,M.SI.",Manajemen Keuangan,2019.0,5.0
Manajemen Keuangan,Fandy Tjiptono & Anastasia Diana,Manajemen Keuangan,2022.0,5.0
"Manajemen Keuangan Korporat; Teori, Analisis, Dan Aplikasi D",Prof. Dr. Sukmawati Sukamulja,Manajemen Keuangan,2021.0,5.0
Manajemen Keuangan Fundamental Single Edition,Prof. Dr. Bambang Sugeng,Manajemen Keuangan,2017.0,4.9
Manajemen Keuangan Perusahaan dan Pasar Modal,Irham Fahmi,Manajemen Keuangan,2012.0,5.0
Manajemen Keuangan Daerah,Mahmudi,Manajemen Keuangan,2010.0,4.15
Manajemen Keuangan Perusahaan,I Made Sudana,Manajemen Keuangan,2011.0,4.2
Dasar-Dasar Manajemen Keuangan,Niki Lukviarman,Manajemen Keuangan,2016.0,4.21
Manajemen Keuangan Rumah Sakit,Boy S. Sabarguna,Manajemen Keuangan,2019.0,3.96
Dasar-Dasar Manajemen Keuangan Perusahaan (Jilid 2),Richard A. Brealey,Manajemen Keuangan,2020.0,4.06
Manajemen Keuangan Multinasional - Jilid 1,David K. Eiteman,Manajemen Keuangan,2010.0,3.73
Pengantar Manajemen Keuangan,Kasmir,Manajemen Keuangan,2019.0,4.47
Manajemen Keuangan Modern,Diana Sandjaja,Manajemen Keuangan,2013.0,4.67
Milenialnomics - Mengatur Keuangan dengan Bahagia,Haryo Setyo Wibowo,Manajemen Keuangan,2019.0,3.69
Manajemen Keuangan Multinasional - Jilid 2,"David K. Eiteman
Arthur I. Stonehill
Michael H. Moffett",Manajemen Keuangan,2011.0,3.9
Manajemen Keuangan,Musthafa,Manajemen Keuangan,2017.0,3.0
MANAJEMEN KEUANGAN STRATEGIK,Ubud Salim,Manajemen Keuangan,2011.0,5.0
Manajemen Keuangan dan Akuntansi Perusahaan Pelayaran :Suatu Pendekatan Praktis dalam Bidang Usaha Pelayaran,Engkos Kosasih,Manajemen Keuangan,2018.0,4.43
Manajemen Keuangan bagi Manajer Nonkeuangan,Aries Heru Prasetyo,Manajemen Keuangan,2011.0,5.0
Manajemen Keuangan Teori Konsep dan Aplikasi,Sutrisno,Manajemen Keuangan,2017.0,5.0
Manajemen Keuangan Konsep dan Penerapannya,David Wijaya,Manajemen Keuangan,2017.0,4.0
Cara Gampang Mengelola Keuangan Pribadi dan Keluarga,"Indrasto Budisantoso,Gunanto",Manajemen Keuangan,2010.0,4.0
Menjadi CFO Terbaik: Perencanaan Stratejik Manajemen Keuangan,Hessel Nogi S. Tangkilisan,Manajemen Keuangan,2021.0,3.0
