Judul,Author,Genre,Year,Rating
Manajemen Operasional,"Andri Octaviani, S.Pd., M.Pd",Manajemen Operasional,2023.0,4.8
Manajemen Perkantoran Efektif Edisi 2,Mc Maryati,Manajemen Perkantoran,2022.0,5.0
Pengantar Manajemen,"Dr. Veronika Wiratna Sujarweni, S.E., M.M., M.T., dkk.",Manajemen Umum,2024.0,3.3
Manajemen Pemerintahan,Zaidan Nawaw,Manajemen Pemerintahan,2013.0,5.0
Manajemen Konflik,Andri Kristanto,Manajemen Konflik,2020.0,4.8
Manajemen Risiko,"Dadang Suwanda, H.,Dr. S.E., M.M., M.Ak., Ak., Ca., Dkk.",Manajemen Risiko,2019.0,5.0
Manajemen Risiko Edisi 2,Herman Darmawi,Manajemen Risiko,2016.0,4.7
Pengantar Manajemen,Catharina Vista Okta Frida,Manajemen Umum,2021.0,4.0
Manajemen Bisnis,Ais Zakiyudin,Manajemen Bisnis,2021.0,5.0
Manajemen Strategi Keunggulan Bersaing Berkelanjutan Edisi 2,Prasetio Aji,Manajemen Strategi,2015.0,5.0
Manajemen Logistik,Ricky Martono,Manajemen Logistik,2018.0,5.0
Manajemen Bisnis,"Alexander Hery, S.E., M.Si.",Manajemen Bisnis,2024.0,5.0
Seri Manajemen 01:Manajemen & Strategi Merek,Fandy Tjiptono,Manajemen Merek,2011.0,5.0
Manajemen Kepelabuhanan,Da Lasse,Manajemen Kepelabuhan,2014.0,4.7
Manajemen Operasi Produksi Edisi 3,Sofjan Assauri,Manajemen Operasional,2016.0,5.0
Manajemen Edisi Ketiga,Mamduh M. Hanafi,Manajemen Umum,2022.0,5.0
Manajemen,"Dr.Mamduh M.Hanafi,Mba",Manajemen Umum,2022.0,5.0
Manajemen Kinerja Untuk Perusahaan & Organisasi Edisi Pertama,Veithzal Rival Zainal Dkk,Manajemen Organisasi,2021.0,5.0
MANAJEMEN PENDIDIKAN,"Prof. Dr. H. Andi Rasyid Pananrangi, SH., M.Pd.",Manajemen Pendidikan,2017.0,4.6
Pengantar Manajemen,R.Supomo,Manajemen Umum,2017.0,4.6
Manajemen Perbankan,Catharina Vista Okta Frida,Manajemen Perbankan,2020.0,5.0
Manajemen Strategi,Catharina Vista Okta Frida,Manajemen Strategi,2020.0,3.5
Manajemen Alhamdulillah,Indra Utoyo,Manajemen Umum,2011.0,3.1
Manajemen Pemasaran,"Esti Dwi Rahmawati SE.,MM.",Manajemen Pemasaran,2023.0,5.0
Manajemen Farmasi,"Yoga Dwi Saputra, M.Pharm. Sci., Apt.",Manajemen Farmasi,2022.0,5.0
Manajemen Keuangan,"Erna Chotidjah Suhatmi, SE.,M.Ak",Manajemen Keuangan,2023.0,5.0
Manajemen Perusahaan,"Kadar Nurzaman,S.E.,M.M.",Manajemen Perusahaan,2018.0,5.0
Pengendalian Akuntansi dan Manajemen,Yoshihiro To,Manajemen,2014.0,5.0
Manajemen Strategik,Rachmat,Manajemen Strategi,2014.0,4.9
Sosiologi Manajemen,"Esti Dwi Rahmawati, S.E,M.M , dkk",Manajemen Umum,2023.0,5.0
Pengantar Manajemen Edisi Revisi,"DR. H. Fauzi, S.E., M.KOM., AKT., CA.",Manajemen Umum,2018.0,5.0
Manajemen Perbankan,"Dr.Kuras Purba,S.E.,M.M.",Manajemen Perbankan,2019.0,4.5
"Cloud Computing, Manajemen Dan Perencanaan Kapasitas","RIKO HERWANTO, ONNO W. PURBO & RZ. ABD. AZIZ",Manajemen,2020.0,5.0
Manajemen Koperasi,"TOMAN SONY TAMBUNAN,S.E.,M.SI. / DR.HARDI TAMBUNAN,M.PD.",Manajemen Koperasi,2019.0,5.0
Manajemen Bencana,"Prof.Dr.Dr. Anies,M.Kes,Pkk.",Manajemen Risiko,2018.0,5.0
Sistem Manajemen Komunikasi Edisi Revisi,"DR. DEWI K. SOEDARSONO, M.SI. & DRS. LUDWIG SUPARMO, M.SI.",Manajemen Komunikasi,2017.0,5.0
Manajemen Perpajakan,Irwan Wisanggeni  Michell Suharli,Manajemen Pajak,2017.0,5.0
Manajemen Strategi,Sedarmayanti,Manajemen Strategi,2014.0,4.6
Manajemen Pemasaran,Mursid,Manajemen Pemasaran,2020.0,4.8
Manajemen Kantor,Armida,Manajemen Perkantoran,2016.0,5.0
Manajemen Pendidikan,"Dr. Satrijo Budiwibowo, M.M.",Manajemen Pendidikan,2018.0,4.7
Manajemen Administrasi Perkantoran (Edisi Revisi),Ida Nuraida,Manajemen Perkantoran,2014.0,5.0
Manajemen Risiko 2,Ikatan Bankir Indonesia,Manajemen Risiko,2015.0,5.0
"Tips Dan Tricks Series: Microsoft Excel, Teknik, Rumus, Dan Fungsi Matematis Serta Manajemen File",ELCOM,Manajemen,2018.0,5.0
Manajemen Pelayanan,Agus B. Lay,Manajemen Pelayanan,2021.0,5.0
Manajemen Paud,"Prof. Dr. H. E. Mulyasa, M.Pd.",Manajemen Pendidikan,2022.0,4.9
MANAJEMEN RISIKO PASAR MODAL EDISI 2,Dr. Embun Prowanta,Manajemen Risiko,2015.0,4.7
