Judul,Author,Genre,Year,Rating
Manajemen Risiko Edisi 2,Herman Darmawi,Manajemen Risiko,2016.0,4.7
Manajemen Pemasaran Jasa,"Christopher H. Lovelock, Lauren K. Wright",Manajemen Pemasaran,2017.0,5.0
Manajemen Edisi Ketiga,Mamduh M. Hanafi,Manajemen Umum,2022.0,5.0
Manajemen Pemasaran,"Esti Dwi Rahmawati SE.,MM.",Manajemen Pemasaran,2023.0,5.0
Manajemen Pemasaran Jasa,"Agus Suyatno, S.Pd, M.M. dan Devita Putri Anjarsari, S.Kom,MM",Manajemen Pemasaran,2023.0,5.0
Manajemen Pemasaran,Mursid,Manajemen Pemasaran,2020.0,4.8
Manajemen Pemasaran Indonesia,DR. Eva Zhoriva Yusuf,Manajemen Pemasaran,2017.0,5.0
"Periklanan Manajemen, Kiat Dan Strategi",Kustadi Suhandang,Manajemen Pemasaran,2016.0,5.0
Manajemen Pemasaran Strategik Bank di Era Global,Prof. Dr. Dra. Tatik Suryani,Manajemen Pemasaran,2017.0,5.0
Manajemen dan Pemasaran Jasa Dalam Era Transformasi,"Asep Hermawan, Husna Leila Yusran, Ovy Magetsari",Manajemen Pemasaran,2023.0,5.0
Prinsip2 Manajemen,George R.terry,Manajemen,2016.0,4.9
Manajemen komunikasi pemasaran terpadu 1,"Sunarto Prayitno, Rudy Harjanto",Manajemen Pemasaran,2017.0,5.0
Manajemen Pemasaran,"Hery, S.E., M.Si., CRP., RSA., CFRM.",Manajemen Pemasaran,2019.0,5.0
Akuntansi Manajemen Edisi 2,"Prof. Dr. Dermawan Sjahrial, Djahotman Pudba, Gunawan",Akuntansi Manajemen,2022.0,4.5
Manajemen Pemasaran,Prof. Dr. Thamrin Abdullah,Manajemen Pemasaran,2015.0,5.0
Manajemen Surat Kabar,"Dr. Ir. Yuni Mogot -Prahoro, M.Si., CPR.",Manajemen Pemasaran,2022.0,5.0
Manajemen Pemasaran Syariah,Hendy Mustiko Aji,Manajemen Pemasaran,2019.0,4.6
Manajemen Pemasaran Geowisata,"Dr. Ayu Krishna Yuliawati ,M.M Prof.Dr. Agus Rahayu, M.P.",Manajemen Pemasaran,2020.0,4.7
"Manajemen Pemasaran, Teori Dan Implementasi",Dr.sudaryono,Manajemen Pemasaran,2016.0,5.0
Secrets Of Customer Relationship Management (Rahasia Manajemen Hubungan Pelanggan),James G.Barnes,Manajemen Pemasaran,2020.0,4.7
Manajemen Edisi 2,T. Hani Handoko,Manajemen,2018.0,4.8
Manajemen Pemasaran Edisi 3,Prof. DR. Ir Nandan L,Manajemen Pemasaran,2019.0,5.0
Manajemen Pemasaran Dasar Konsep Strategi,Sofjan Assauri,Manajemen Pemasaran,2013.0,3.0
Buku Ajar Manajemen Pemasaran Islam,"Tati Handayani, S.E., M.M. Muhammad Anwar Fathoni, Lc., M.A.",Manajemen Pemasaran,2019.0,4.9
Prinsip-Prinsip Manajemen Pemasaran,Amirullah,Manajemen Pemasaran,2021.0,4.8
Manajemen Dan Strategi Kepuasan Pelanggan,Fandy Tjiptono Dan Anastasia Diana,Manajemen Pemasaran,2022.0,5.0
Manajemen Pemasaran,"Prof. Dr. Nembah Fhilip Hartimbul Ginting, S.E., S.H., M.M.",Manajemen Pemasaran,2023.0,4.9
Manajemen Bisnis Pemasaran,Sofjan Assauri,Manajemen Bisnis,2018.0,5.0
Manajemen Pemasaran Jasa: Berbasis Kompetensi Edisi ke-3,Rambat Lupiyoadi,Pemasaran Jasa,2018.0,5.0
Pengantar Manajemen Edisi-1,Ernie Tisnawati Sule,Pengantar Manajemen,2016.0,4.7
