Judul,Author,Genre,Year,Rating
Optimizing Corporate Tax Management Kajian Perpajakan Dan Tax Planning-nya Terkini,"Drs. Chairil Anwar Pohan, M.Si, MBA",Perpajakan,2022.0,5.0
Perpajakan,"HASTANTI AGUSTIN RAHAYU, S.E., M.ACC., AK., CA., BKP.",Perpajakan,2020.0,4.9
Perpajakan,"Alexander Hery, S.E., M.Si.",Perpajakan,2021.0,5.0
Perpajakan Edisi: Tax Amnesty,"Indra Mahardika Putra, S.E., Ak., M.Ak.",Perpajakan,2017.0,5.0
Perpajakan Untuk Bendaharawan,Dr. Icuk Rangga Bawono & Mochamad Novelsyah,Perpajakan,2020.0,4.6
Memahami Ketentuan Umum dan Tata Cara Perpajakan di Indonesia,"Nataherwin, SE, MM & Widyasari, SE, M.Si, Ak, CPA",Perpajakan,2019.0,5.0
Pengantar Perpajakan Untuk Mahasiswa Dan Umum,"Dr. H.C. Hery, S.E., M.Si., Crp, Rsa, Cfrm, Ciisa, Cifrs",Perpajakan,2022.0,5.0
Pengantar Akuntansi & Perpajakan,"Emayanti Christina Hutabarat, S.Ak., M.Ak.",Perpajakan,2024.0,5.0
Perpajakan Edisi Terbaru 2018,"Prof. Dr. Mardiasmo, Mba., Ak",Perpajakan,2018.0,4.9
Manajemen Perpajakan,Irwan Wisanggeni  Michell Suharli,Perpajakan,2017.0,5.0
Perpajakan Edisi Terbaru 2016,"Prof. Dr. Mardiasmo, Mba., Ak",Perpajakan,2018.0,5.0
Perpajakan 1,"Dr. Alexander Thian, M.Si.",Perpajakan,2022.0,4.9
Bunga Rampai Perpajakan,Rachmanto Surahmat,Perpajakan,2017.0,5.0
Rahasia Cepat Menguasai Laporan Keuangan Khusus Untuk Perpajakan & Ukm,Ferra Pujiyanti,Perpajakan,2015.0,4.7
Pengantar Perpajakan,Beoedi Abdullah,Perpajakan,2016.0,4.7
"Perpajakan, Suatu Pengantar Single Edition",Lazarus Ramandey,Perpajakan,2020.0,5.0
Konsep Dasar Perpajakan,Diana Sari,Perpajakan,2021.0,5.0
Pengantar Komplet Akuntansi Dan Perpajakan,"Indra Mahardika Putra, Se. Ak, M. Ak",Perpajakan,2023.0,5.0
Perpajakan Bagi Umkm,"Jeni Susyanti, S.E., M.M., Bkp. BKP.",Perpajakan,2022.0,4.6
Pajak E-Commerce: Sebuah Regulasi Perpajakan Bagi Pelaku Bisnis,PROF. DR. IR. SINGGIH RIPHAT,Perpajakan,2021.0,4.5
Perpajakan Untuk Praktisi&Akademisi,Ahmad Dahlan,Perpajakan,2024.0,4.7
Pajak 4.0 : Tantangan Dan Dinamika Perpajakan,"Prof. Gunadi, Dkk",Perpajakan,2019.0,5.0
Optimalisasi Dan Penguatan Perpajakan Indonesia,Caruniya Mulya Firdausy (Editor),Perpajakan,2020.0,5.0
Akuntansi Perpajakan,Wirawan B Ilyas & Diaz Priantara,Perpajakan,2017.0,5.0
Praktikum Perpajakan Ed 2,Waluyo,Perpajakan,2014.0,5.0
Perpajakan Pendekatan Teori & Praktek,Rismawati Sudirman,Perpajakan,2012.0,3.0
Perpajakan Indonesia Mekanisme&Perhitungan,Theresia Woro Damayanti & Supramono,Perpajakan,2010.0,5.0
Aplikasi Dan Terapan Perpajakan Dengan Excel,Christopher Lee,Perpajakan,2015.0,5.0
Akuntansi dan Perpajakan: Sebuah Pengantar,"Indra Mahardika Putra, Se. Ak, M. Ak",Perpajakan,2023.0,5.0
Praktikum Perpajakan All Taxes,Irawansyah Lubis & Abidah Sari L,Perpajakan,2014.0,4.5
Pembahasan Komprehensif Pengantar Perpajakan Teori Dan Konsep Hukum Pajak,"Drs. Chairil Anwar Pohan, M.si, Mba",Perpajakan,2017.0,4.5
"Politik Perpajakan Kontemporer: Pertautan Ekonomi, Politik","Dr. H. Edi Slamet Irianto, S.E., M.Si. Dr. Syarifuddin Jurdi",Perpajakan,2022.0,4.8
Perpajakan Esensi&Aplikasi,Tmbooks,Perpajakan,2024.0,4.8
Perpajakan Internasional,"Dr. Timbul Hamonangan Simanjuntak, SE., MA",Perpajakan,2019.0,5.0
Panduan Praktis Perpajakan,Sonny Agustinus Dan Isnianto Kurniawan,Perpajakan,2019.0,5.0
Seri Peraturan Perpajakan UU PBB-P2 Dan BPHTB,Sinar Grafika,Perpajakan,2015.0,5.0
Perpajakan Indonesia: Mekanisme&Perhitungan Edisi Revisi,Supramono & Theresia Woro Damayanti,Perpajakan,2010.0,5.0
Perpajakan: Disesuaikan Dengan Peraturan Perpajakan Terbaru,Puji Rahayu,Perpajakan,2019.0,5.0
Perpajakan Brevet A&B Private Di Rumah,Leo Agung Danang Dwi Pangestu,Perpajakan,2013.0,5.0
Perpajakan Untuk Akademis Dan Perlaku Usaha,JENI SUSYANTIM,Perpajakan,2023.0,5.0
Praktikum Perpajakan Edisi 3,Dr.Wirawan B.Ilyas & Rudi Suhartono,Perpajakan,2017.0,5.0
Reformasi: Menuju Terwujudnya Keadilan & Kesetaraan Perpajakan,NURYADI MULYODIWARNO,Perpajakan,2020.0,4.6
Pengaruh Perpajakan Pada Penerapan Standar Akuntansi Keuangan,Djoko Muljono,Perpajakan,2013.0,4.7
Perpajakan Konsep Dan Aspek Formal,"Dr. Siti Kurnia Rahayu, Se.,M.Ak.,Ak.,Ca",Perpajakan,2018.0,4.0
Perpajakan Aplikasi&terapan,Dwiarso Utomo,Perpajakan,2011.0,5.0
Perpajakan Indonesia Edisi 2,"DRS. DWIKORA HARJO, M.SI, M.M., BKP., CRGP.",Perpajakan,2015.0,5.0
Current Issue Perpajakan,Puspahadi Bunyamin & Irwan Wisanggeni,Perpajakan,2019.0,5.0
Perpajakan Indonesia Edisi Kelima,"Thomas Sumarsan, S.e, M.m",Perpajakan,2022.0,5.0
Pengantar Perpajakan: Cara Meningkatkan Kepatuhan Pajak,Kautsar Riza Salman,Perpajakan,2019.0,5.0
Dasar-Dasar Perpajakan & Akuntansi Pajak,Herry Purwono,Akuntansi Pajak,2021.0,4.15
"Perpajakan Di Indonesia: Keuangan, Pajak, Dan Retribusi Daerah",Azhari A. Samudra,Perpajakan,2017.0,4.4
Asas dan Dasar Perpajakan 1,"H. Rochmat Soemitro,Dewi Kania Sugiharti",Perpajakan,2017.0,4.15
Dasar-Dasar Perpajakan & Akuntansi Pajak,Herry Purwono,Perpajakan,2011.0,4.15
Cross-Border Transfer Pricing untuk Tujuan Perpajakan,"Darussalam,Danny Septriadi",Perpajakan,2019.0,4.85
Administrasi Perpajakan,Liberti Pandiangan,Perpajakan,2020.0,4.35
Perpajakan: Teori dan Studi Kasus,Siti Resmi,Perpajakan,2018.0,4.45
Tanah dan Sistem Perpajakan Masa Kolonial Inggris,Putri Agus Wijayati,Perpajakan,2020.0,3.0
"Perpajakan Di Indonesia: Keuangan, Pajak, Dan Retribusi Daerah",Azhari A. Samudra,Perpajakan,2015.0,4.4
Dimensi Ekonomi Perpajakan Dalam Pembangunan Ekonomi,"Timbul H. Simanjuntak, Imam Mukhlis",Perpajakan,2012.0,4.0
KUP: Ketentuan Umum Perpajakan,Muhammad Rus,Perpajakan,2016.0,4.0
HINDARI KESALAHAN PAJAK - 37 Larangan Perpajakan,Liberti Pandiangan,Perpajakan,2010.0,5.0
ADMINISTRASI PERPAJAKAN,Liberti Pandiangan,Perpajakan,2018.0,5.0
"Perpajakan: Konsep, Sistem dan Implementasi",Siti Kurnia Rahayu,Perpajakan,2020.0,5.0
Pengantar Akuntansi & Perpajakan,"Emayanti Christina Hutabarat, S.Ak., M.Ak.",Akuntansi Perpajakan,2024.0,5.0
Panduan Brevet Pajak Akuntansi Pajak Dan Ketentuan,Djoko Muljono,Perpajakan,2010.0,4.0
Pengaruh Perpajakan Pada Penerapan Standar Akuntansi Keuangan,Djoko Muljono,Perpajakan,2013.0,5.0
Akuntansi Perpajakan Lintas Sektoral Dilengkapi Peraturan Perpajakan Terkait dan Terkini,Irwan Wisanggeni,Akuntansi Perpajakan,2017.0,5.0
Akuntansi Perpajakan,"Hery, S.E, M.Si",Akuntansi Perpajakan,2021.0,5.0
"Perpajakan di Indonesia: Keuangan, Pajak & Retribusi Daerah",Azhari Aziz Samudra,Perpajakan,2016.0,4.8
Perpajakan Konsep Dan Aspek Formal,"Dr. Siti Kurnia Rahayu, Se.,M.Ak.,Ak.,Ca",Perpajakan,2018.0,5.0
Perpajakan Indonesia Edisi Kelima,"Thomas Sumarsan, S.e, M.m",Perpajakan,2017.0,5.0
Panduan Brevet Pajak Pajak Penghasilan,Djoko Muljono,Perpajakan,2010.0,5.0
"Pajak Penghasilan, Teori, Kasus Dan Aplikasi",Rahmat Hidayat Lubis,Perpajakan,2018.0,4.9
Keuangan Korporat: Tinjauan Teori dan Bukti Empiris,Tatang Ary Gumanti,Perpajakan,2017.0,5.0
Panduan Komprehensif Ketentuan Umum Perpajakan (KUP),Gunadi,Perpajakan,2017.0,5.0
Pembahasan Komprehensif Perpajakan Indonesia Edisi 2 Teori Dan Kasus,"Drs.Chairil Anwar Pohan,M.Si,Mba",Perpajakan,2017.0,5.0
Perpajakan Indonesia Edisi 2 Revisi,Diaz Priantara,Perpajakan,2023.0,5.0
Perpajakan: Teori&Peraturan Terkini,Anastasia Diana & Lilis Setiawati,Perpajakan,2014.0,4.0
Pedoman Lengkap Pajak Internasional,"Drs. Chairil Anwar Pohan, M.si, Mba",Perpajakan,2018.0,4.9
Optimizing Corporate Tax Management Kajian Perpajakan Dan Tax Planning-nya Terkini,"Drs. Chairil Anwar Pohan, M.Si, MBA",Perpajakan,2022.0,4.8
"Pph & Ppn: Mengenal & Memahami Konsep Pph Serta Ppn, Ditinjau Dari Aspek Perpajakan Maupun Akuntansi","Hery, S.e., M.si., Crp., Rsa.",Perpajakan,2015.0,5.0
Dasar-Dasar Perpajakan & Akuntansi Pajak,Herry Purwono,Akuntansi Pajak,2011.0,5.0
Perpajakan Jasa Konstruksi& Implementasinya,Joseph Purwono,Perpajakan,2019.0,4.0
Cara Praktis Pengisian Spt Pajak Penghasilan Pribadi,Marzuqi Yahya,Perpajakan,2021.0,5.0
Panduan Menghitung dan Melaporkan Pajak Pribadi Bagi Pemilik Npwp,"Etty Muyassaroh, S.E.  Etty M",Perpajakan,2021.0,5.0
Cara Legal Siasati Pajak,Arles P. Ompusunggu,Perpajakan,2020.0,5.0
79 Masalah Pajak Pribadi+Solusinya,Fajar Budiman,Perpajakan,2010.0,5.0
Cara Mudah Menghitung Pajak Pribadi,Suryo Dwianto Agung,Perpajakan,2014.0,5.0
Praktikum Perpajakan,Estralita Trisnawati,Perpajakan,2014.0,5.0
Tinjauan Kritis Perpajakan,Irwan Wisanggeni & Ronald Leonardy,Perpajakan,2015.0,5.0
Buku Praktik Pemotongan&Pemungutan Pph : Studi Kasus,Benny Setiawan,Perpajakan,2018.0,5.0
Memahami Keadilan Di Bidang Pajak,Sri Pudyatmoko,Perpajakan,2021.0,5.0
Panduan Praktis  Amnesti Pajak Indonesia,Suharno,Perpajakan,2016.0,5.0
"Mengisi SPT Sendiri, Why Not? Cara Mudah & Praktis Mengisi SPT Tahunan untuk Karyawan (BP)",Tmbooks,Perpajakan,2013.0,4.0
Mudahnya Menghitung Pajak Umkm,Liberti P.,Perpajakan,2014.0,5.0
99 Solusi Perpajakan untuk Anda,Thomas Sumarsan,Perpajakan,2011.0,5.0
Pemetaan Pendataan&Penilaian Objek Pbb,Darwin Mbp,Perpajakan,2014.0,5.0
E-Faktur - Mudah dan Cepat Penggunaan Faktur Pajak secara Online: Faktur Pajak Elektronik (E-Faktur),Nufransa Wira Sakti & Asrul Hidayat,Perpajakan,2016.0,5.0
Praktikum Pajak Pertambahan Nilai Lanjutan,Mohammad Yamin,Perpajakan,2019.0,4.0
Buku Pintar Transfer Pricing Untuk Kepentingan Pajak,Anang Mury Kurniawan,Perpajakan,2015.0,4.7
PERLAKUAN PERPAJAKAN TERHADAP: BUT,Jaja Zakaria,Perpajakan,2017.0,5.0
Penagihan Pajak,Ida Zuraida,Perpajakan,2011.0,4.0
"Cara Menghitung Pbb Sektor P3, Sektor Lainnya, Dan Bea Meterai","Heru Supriyanto, Bem., Msi",Perpajakan,2019.0,5.0
Manajemen Sengketa dalam Pungutan Pajak,Wirawan B,Perpajakan,2012.0,4.9
Pajak Bumi & Bangunan Dalam Tataran Praktis Ed 2,Darwin,Perpajakan,2013.0,4.6
Pemungut Pajak Pertambahan Nilai,Untung Sukardji,Perpajakan,2015.0,5.0
Sekejab Mengisi Spt Tahunan 1770 Dan 1770 Ss+Cd,Forethought,Perpajakan,2015.0,5.0
Perpajakan PPh dan PPN,Kautsar Riza Salman,Perpajakan,2019.0,5.0
Pembahasan Komprehensif Pengantar Perpajakan Teori&Konsep Huk,Chairil Anwar Pohan,Perpajakan,2014.0,4.5
Pokok-pokok Ppn Pajak Pertambahan Nilai Indonesia Ed Rev 2014,Untung Sukardji,Perpajakan,2016.0,5.0
PERPAJAKAN ED.REVISI 2011,Mardiasmo,Perpajakan,2015.0,5.0
Panduan Brevet Pajak Ppn Pbb,Djoko Muljono,Perpajakan,2010.0,5.0
Perpajakan Pendekatan Sertifikasi A-B-C,Purno Sjafardamsah Tugiman,Perpajakan,2018.0,3.0
Perpajakan Indonesia,Achmad Tjahjono,Perpajakan,2015.0,5.0
Perpajakan Teori & Kasus Edisi 11 Buku 1,Siti Resmi,Perpajakan,2019.0,5.0
"Perpajakan Edisi 2: Konsep, Aplikasi, Contoh dan Studi Kasus",Abdul Halim Dkk,Perpajakan,2016.0,4.6
Tax Treaty Is Easy !,Hendharto Oetomo,Perpajakan,2015.0,5.0
Perpajakan Indonesia:Konsep Apl+Penuntun Praktis+Cd,Anastasia Diana,Perpajakan,2014.0,5.0
"E-Tax; E-Registration, E-Billing, E-SPT Masa PPH Pasal 21-26",Setiadi Alim Lim,Perpajakan,2018.0,5.0
"Perjanjian Penghindaran Pajak Berganda: Panduan, Interpretasi dan Aplikasi",Darussalam,Perpajakan,2016.0,5.0
Panduan Komprehensif Ketentuan Umum Perpajakan (KUP),Gunadi,Perpajakan,2017.0,4.8
Undang-Undang Ketentuan Umum Perpajakan KUP,Sinar Grafika,Perpajakan,2022.0,5.0
Mudahnya Menghitung Pajak Umkm,Liberti P.,Perpajakan,2013.0,5.0
Akuntansi Sektor Publik,Indra Bastian,Akuntansi,2021.0,4.15
Teori Akuntansi,Sofyan Syafri Harahap,Akuntansi,2017.0,4.12
Akuntansi Kesehatan,Indra Bastian,Akuntansi,2019.0,4.39
Akuntansi Pemerintahan Daerah,Irwan Taufiq Ritonga,Akuntansi,2010.0,4.6
Akuntansi Dasar 1 dan 2,George  Foster,Akuntansi,2018.0,5.0
Pengantar Akuntansi,Hery,Akuntansi,2015.0,4.2
Akuntansi Dasar,Elvy Maria Manurung,Akuntansi,2011.0,4.0
Akuntansi Pengantar 1,Faiz Zamzami,Akuntansi,2017.0,5.0
Akuntansi – Jilid 2,Charles T. Horngren,Akuntansi,2010.0,4.67
Akuntansi – Jilid 1,Charles T. Horngren,Akuntansi,2017.0,4.25
Excel Akuntansi Dagang,Adjeng Wind,Akuntansi,2016.0,5.0
Kajian Riset Akuntansi: Mengulas Berbagai Hasil Penelitian Terkini dalam Bidang Akuntansi dan Keuangan,Hery,Akuntansi,2017.0,4.8
Pengantar Akuntansi,V Wiratna Sujarweni,Akuntansi,2019.0,5.0
Akuntansi Dasar Dan Aplikasi Dalam Bisnis Versi Ifrs Edisi 2,Thomas Sumarsan,Akuntansi,2017.0,5.0
Akuntansi Internasional,Sunardi,Akuntansi,2015.0,5.0
